Date,Open,High,Low,Close,Volume
2017-12-31,4300,6400,4199,5936,1803370
2018-01-31,5800,5800,4530,4799,121405
2018-02-28,4703,5199,4680,5000,1055930
2018-03-31,4979,5600,4800,5499,88675
2018-04-30,5400,5460,5000,5102,271040
2018-05-31,5120,5198,4600,4999,46640
2018-06-30,4980,5400,4600,4860,62370
2018-07-31,4800,4860,4600,4800,66255
2018-08-31,4720,4800,4560,4798,83415
2018-09-30,4740,4839,4500,4640,567760
2018-10-31,4580,4598,3700,3949,13920
2018-11-30,3990,4000,3332,3590,26305
2018-12-31,3580,4245,3400,4240,37374
2019-01-31,4200,4220,3630,3800,19790
2019-02-28,3700,4060,3500,3650,24791
2019-03-31,3700,3800,3055,3340,95587
2019-04-30,3340,3650,3000,3550,57019
2019-05-31,3550,3850,3010,3200,34661
2019-06-30,3190,3400,3000,3345,62245
2019-07-31,3280,3345,3000,3015,51568
2019-08-31,3015,3090,2900,2985,106304
2019-09-30,2990,3000,2500,2725,24022
2019-10-31,2695,3000,2405,2800,30205
2019-11-30,2705,3000,2500,2990,86033
2019-12-31,2995,3990,2950,3990,83390
2020-01-31,3695,3695,3050,3350,32551
2020-02-29,3150,3350,2810,3000,78221
2020-03-31,3000,3200,2840,2905,13704
2020-04-30,3120,3125,2950,3050,18585
2020-05-31,3100,3150,2800,3100,21653
2020-06-30,3140,3425,3140,3400,42688
2020-07-31,3400,3420,2850,2900,38675
2020-08-31,2905,3050,2750,3000,594213
2020-09-30,2925,3185,2800,3185,41356
2020-10-31,3000,3400,2675,3400,30232
2020-11-30,3200,3400,2800,3370,1032498
2020-12-31,3350,4070,2950,3895,1950456
2021-01-31,3605,3695,2960,3390,22640
2021-02-28,3385,3400,3155,3325,13108
2021-03-31,3450,3600,3295,3310,127686
2021-04-30,3350,3600,3005,3600,379448
2021-05-31,3600,3600,3115,3400,19050
2021-06-30,3400,3480,3250,3400,36755
2021-07-31,3300,3600,3150,3600,109001
2021-08-31,3580,4000,3530,3990,18961
2021-09-30,3850,4200,3800,4100,45471
2021-10-31,4100,4495,4065,4400,21448
2021-11-30,4400,5245,4250,5015,27315
2021-12-31,5020,5055,4615,4785,58708
2022-01-31,4785,4785,4300,4700,19295
2022-02-28,4700,4745,4200,4500,150729
2022-03-31,4500,5205,4400,5050,81017
2022-04-30,5050,5500,4600,4695,53714
2022-05-31,4695,4700,3980,4495,241647
2022-06-30,4360,4600,4150,4550,610000
2022-07-31,4300,4500,4200,4495,1196337
2022-08-31,4495,4700,4300,4590,54057
2022-09-30,4590,5000,4520,4700,35208
2022-10-31,4625,5000,4600,5000,55596
2022-11-30,4995,5000,4700,4780,23408
2022-12-31,4705,5125,4535,4945,473052
2023-01-31,4865,5150,4505,5000,34743
2023-02-28,5000,5150,4850,5100,57027
2023-03-31,5100,5135,4800,4950,95352
2023-04-30,4945,5595,4800,5495,89242
2023-05-31,5500,5650,5090,5275,61723
2023-06-30,5280,5295,5105,5285,86225
2023-07-31,5280,5900,5260,5760,70790
2023-08-31,5760,6195,5600,6020,27365
2023-09-30,6100,6815,5775,6625,221983
2023-10-31,6630,6935,6250,6800,42402
2023-11-30,6750,7000,6700,6900,360872
2023-12-31,6900,7000,6600,6800,46666
2024-01-31,6800,6995,6400,6835,26754
2024-02-29,6835,6850,6500,6795,29302
2024-03-31,6795,7000,6650,6985,40302
2024-04-30,6900,6900,6490,6895,64821
2024-05-31,6900,7600,6650,7380,31637
2024-06-30,7370,7370,6800,6990,22831
2024-07-31,7000,7420,6600,7415,52243
2024-08-31,7415,7755,7000,7500,22179
2024-09-30,7500,9000,7400,8795,63583
2024-10-31,8800,8800,8260,8550,16114
2024-11-30,8550,8595,8300,8595,383479
2024-12-31,8590,8950,8300,8795,126981
2025-01-31,8750,8750,7770,8600,21065
2025-02-28,8050,8900,8005,8880,13019
2025-03-31,8885,10500,8510,9860,17146
2025-04-30,9900,10000,9255,9800,20209
2025-05-31,9820,12650,9820,11150,15886
2025-06-30,11200,12000,9900,11860,31268
2025-07-31,11845,12000,10915,11600,29496
2025-08-31,11600,12000,11200,11980,17653
2025-09-30,11990,13410,11970,12505,31554
2025-10-31,12300,15155,12300,15110,48915
2025-11-30,15110,16660,15110,15600,41519
2025-12-31,15600,16770,14630,16000,270421
2026-01-31,16000,17290,15795,17005,38640
2026-02-28,17000,17945,15640,17000,80547
2026-03-31,17000,17000,16000,16500,40986
2026-04-30,16315,17520,15600,16300,48522
2026-05-31,16300,17520,14500,16290,25892
2026-06-30,16250,17450,16200,16600,66085
2026-07-31,17180,17395,14800,16230,161237
2026-08-31,16200,17095,15800,16510,92764
2026-09-30,16400,17010,16295,17000,5405
