Date,Open,High,Low,Close,Volume
2011-12-31,518,648,518,633,1012384
2012-12-31,636,912,617,848,386080
2013-12-31,852,2049,852,1952,430889
2014-12-31,1957,2483,1952,2250,988722
2015-12-31,2250,3000,2000,3000,2445160
2016-12-31,2900,4031,2900,3488,3927720
2017-12-31,3483,5750,3000,3575,1138822
2018-12-31,3555,3598,1350,2600,911642
2019-12-31,2580,2683,1500,1895,498326
2020-12-31,1848,1973,1525,1875,693760
2021-12-31,1750,3225,1750,3100,507336
2022-12-31,3050,3325,2478,2600,488058
2023-12-31,2600,3843,2495,3490,552690
2024-12-31,3470,4175,2890,3035,752044
2025-12-31,3035,4360,2900,3750,1136426
2026-12-31,3900,7700,3890,7350,877812
